Table 1
listing_id;id;date;reviewer_id;reviewer_name;comments;
7202016;38917982;2015-07-19;28943674;Bianca;Cute and cozy place. Perfect location to everything! ;
7202016;39087409;2015-07-20;32440555;Frank;"Kelly has a great room in a very central location. 
Beautiful building , architecture and a style that we really like. 
We felt guite at home here and wish we had spent more time.
Went for a walk and found Seattle Center with a major food festival in progress. What a treat.
Visited the Space Needle and the Chihuly Glass exhibit. Then Pikes Place Market. WOW.  Thanks for a great stay.";
7202016;39820030;2015-07-26;37722850;Ian;"Very spacious apartment, and in a great neighborhood.  This is the kind of apartment I wish I had!

Didn't really get to meet Kelly until I was on my out, but she was always readily available by phone. 

I believe the only ""issue"" (if you want to call it that) was finding a place to park, but I sincerely doubt its easy to park anywhere in a residential area after 5 pm on a Friday";
7202016;40813543;2015-08-02;33671805;George;Close to Seattle Center and all it has to offer - ballet, theater, museum, Space Needle, restaurants of all ilk just blocks away, and the Metropolitan (probably the coolest grocer you'll ever find). Easy to find and Kelly was warm, welcoming, and really interesting to talk to. ;
7202016;41986501;2015-08-10;34959538;Ming;"Kelly was a great host and very accommodating in a great neighborhood. She has some great coffee and while I wasn't around much during my stay the time I spent interacting with her was very pleasant. 

The apartment is in a great location and very close to the Seattle Center. The neighborhood itself has a lot of good food as well!";
7202016;43979139;2015-08-23;1154501;Barent;"Kelly was great, place was great, just what I was looking for-
clean, simple, well kept place.
5 min walk to the Seattle bike share (as of Aug 2015) which I used all week.";
7202016;45265631;2015-09-01;37853266;Kevin;Kelly was great! Very nice and the neighborhood and place to stay was expected and comfortable. Overall great and would book again.;
7202016;46749120;2015-09-13;24445447;Rick;hola all bnb erz - Just left Seattle where I had a simply fantastic time for the weekend , no small part because of the welcome mat left for me at Kelly's. all was good and mega efficient, most including precise directions-very important in this town. oh , btw, her cool 50's apt in in the perfect spot to do anything in town with minimum effort. CHEERS;
7202016;47783346;2015-09-21;249583;Todd;Kelly's place is conveniently located on a quiet street in Lower Queen Anne which is an easy walk or bus/cab ride to Belltown and Downtown in addition to being a booming neighborhood in its own right. Alas, I was visiting my job and old friends in Seattle so my schedule was completely full and I barely got to meet Kelly. Which is too bad, she seemed great!;
7202016;48388999;2015-09-26;38110731;Tatiana;"The place was really nice, clean, and the most important aspect; it was close to everything so we moved across the city easily.
Muy limpio y espacioso, Kelly fue muy agradable y lo mas importante es que esta cerca de prácticamente todo lo que nos permitió movernos fácilmente por la cuidad.";
7202016;49441269;2015-10-04;39852826;Tim;"The place was really nice, clean and quiet at night.
Clean Linen and Towels were provided and the air mattress was superb. 
The Neighbourhood is practical with a lot of restaurants and cafes around. Downtown is reachable by foot (30 min) or bus (10 min).
Kelly was a fantastic host, although I was working most of the time, so I haven't had time to talk much to her.";
7202016;50490194;2015-10-12;384855;Tony;"The listing was exactly as described!  Kelly's place was wonderful and cleen.  it was just what we were looking for.
We only got to meet her for a moment one evening because of our varied schedule, but she was warm and welcoming to us.
Her place is also in good walking distance to City Center!  Lots to do right around there!
We would recommend her place to others who are traveling to Seattle!";
7202016;53862449;2015-11-13;21607838;Jason;Very welcoming and a nicer place to live in the Seattle area;
7202016;54562283;2015-11-21;17052263;Don;Great location, great price, great host! Thanks for the wine, coffee and interesting conversation. You'll definitely see me again when I visit next.;
7202016;55212826;2015-11-29;4774006;Vivian;Staying at Kelly's was easy. The location was a block away from public transportation, her place was easy to find, keys were easy to access and timing was extremely flexible. Great for the price - nothing too fancy. One negative: the shower didn't drain well. ;
7202016;58268184;2016-01-02;41297839;Travis;Kelly was an amazing host who made the stay very pleasurable. Her location is ideal for anyone visiting Seattle. Highly recommended;
3946674;20798623;2014-10-05;9313038;Angeline;Despite our late booking request, Rachel & Jon were very responsive and helpful over email. It was a great place to stay - the location was ideal, the house was clean, well-furnished, the room was cozy, and the cat made good company. Overall, a lovely experience and I would definitely recommend the Farmhouse! ;
3946674;21224862;2014-10-13;8385649;Celine;Rachel & Jon have a nice house closed to downtown. The room was clean. The kitten is really nice and friendly. A good place to stay!;
3946674;22877803;2014-11-16;9403201;Rémy;"Rachel and Jon have been the perfect hosts for us. Our schedule was very tight and they have been very helpful for the check-in and the reservation.
The house is conveniently located, spacious, and beautiful. The room has space for luggages or coats in a big closet. You are given a spare key, so you're free to go in and out.
We have felt really confortable with our hosts and really recommand this house as a place to stay if you're going to Seattle.";
3946674;22938377;2014-11-17;2920596;Jason;This house was a delightful bright place to stay! Rachel and Jon were so nice, they had breakfast for us in the morning. And when we arrived their lovely cat Brigette greeted us and made everything cozy!;
3946674;23416253;2014-11-30;23579299;Margit;"Beautiful place, nice neighborhood and lovely couple & cat!
Would definitely sleep there again!";
3946674;23463915;2014-12-01;20706964;Ashley;"Super cozy home. Located near some good restaurants and bars. The only time we really spent at the house was while we were sleeping because we were busy sightseeing on our only day in Seattle, but we would love to stay there again. The cat was an added bonus! 
The only downside was that their room was right next to ours so we felt like we needed to be extra quiet. We also had to wake up very early and we felt bad that Jon and Rachel's room was right next to ours, but I'm sure they're used to it! 
Another bonus was that they had wonderful looking bread and beverages available for us in the morning, but unfortunately we didn't have time to enjoy them! ";
3946674;23709531;2014-12-08;23941301;Tim;Cute house, and Rachel and Jon were super nice hosts.  Very prompt communication, clean, comfortable rooms, simple and relaxing decor. Thanks guys!;
3946674;23961948;2014-12-15;7008965;Gabriel;Rachel and Jon were really great hosts. Warm, welcoming, and friendly. I felt immediately at ease in their place. The space was very comfortable, clean, and as advertised. They know a lot about Seattle, so are good resources to have when you are there. Their cat is friendly and amusing. I would definitely stay here again! Highly recommended. ;
